dataset_id,dataset_label,method_id,method_label,method_category,metric_id,metric_label,direction,descriptive_median,identity_count,output_mode,aggregation,source
D2,REALY,b_lite_ft,B-lite 同任务微调,同任务适配对照,h_mae,H-MAE,lower_is_better,0.214174,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,b_lite_ft,B-lite 同任务微调,同任务适配对照,a_mae,A-MAE,lower_is_better,0.125362,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,b_lite_ft,B-lite 同任务微调,同任务适配对照,lpips,LPIPS,lower_is_better,0.108356,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,b_lite_ft,B-lite 同任务微调,同任务适配对照,sface,SFACE,higher_is_better,0.760033,100,observed_texture_preserved,pair_median_then_seed_median_then_identity_median,table_S13_descriptive_median
D2,REALY,b_lite,固定权重 B-lite,固定权重基线,h_mae,H-MAE,lower_is_better,0.209193,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,b_lite,固定权重 B-lite,固定权重基线,a_mae,A-MAE,lower_is_better,0.125339,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,b_lite,固定权重 B-lite,固定权重基线,lpips,LPIPS,lower_is_better,0.108099,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,b_lite,固定权重 B-lite,固定权重基线,sface,SFACE,higher_is_better,0.761283,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,lama,LaMa-UV,通用修复参照,h_mae,H-MAE,lower_is_better,0.193866,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,lama,LaMa-UV,通用修复参照,a_mae,A-MAE,lower_is_better,0.125656,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,lama,LaMa-UV,通用修复参照,lpips,LPIPS,lower_is_better,0.109125,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,lama,LaMa-UV,通用修复参照,sface,SFACE,higher_is_better,0.761868,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,zits,ZITS-UV,通用修复参照,h_mae,H-MAE,lower_is_better,0.275901,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,zits,ZITS-UV,通用修复参照,a_mae,A-MAE,lower_is_better,0.123582,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,zits,ZITS-UV,通用修复参照,lpips,LPIPS,lower_is_better,0.107998,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,zits,ZITS-UV,通用修复参照,sface,SFACE,higher_is_better,0.757079,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,h_mae,H-MAE,lower_is_better,0.247419,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,a_mae,A-MAE,lower_is_better,0.125990,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,lpips,LPIPS,lower_is_better,0.107505,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
D2,REALY,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,sface,SFACE,higher_is_better,0.758732,100,observed_texture_preserved,pair_median_then_identity_median,table_S13_descriptive_median
